Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2019-11-28,7390.207469227,7523.4728866811,7647.5180888521,7379.3099176482
BTC,2019-11-30,7729.265938935,7390.2106561699,7856.6079055294,7378.4055432631
BTC,2019-12-01,7542.2356086361,7748.3354868447,7805.0293223847,7439.0988671462
BTC,2019-12-02,7333.4329304881,7542.2453443015,7564.9400791923,7162.4921248334
BTC,2019-12-03,7315.3677645579,7315.4392033661,7407.4107747383,7238.7305917929
BTC,2019-12-04,7213.7337617194,7315.3692744808,7767.9087248467,7089.1412888854
BTC,2019-12-05,7398.7870496069,7213.7434159704,7488.1377716159,7155.1199462029
BTC,2019-12-07,7532.1235130864,7392.9109372956,7619.6660178313,7304.0704409213
BTC,2019-12-08,7550.2391998746,7532.1235130405,7573.1560176261,7387.1540158748
BTC,2019-12-09,7333.0960431601,7550.2388152349,7652.7426061678,7285.2277677358
BTC,2019-12-10,7239.762575441,7333.0958889046,7394.5046757608,7161.5272908812
BTC,2019-12-11,7198.0666770463,7240.0782270224,7269.4743912492,7131.6440544468
BTC,2019-12-12,7190.2723692612,7203.9566063196,7282.3361427744,7081.8802205187
BTC,2019-12-13,7238.8743229875,7188.0718951202,7297.5888943435,7183.2017544808
BTC,2019-12-14,7087.0249853497,7238.9930894862,7271.5711842833,7007.4269228552
BTC,2019-12-15,7112.7314761241,7087.0249577639,7198.3238397492,7007.5588139996
BTC,2019-12-16,6883.4963937703,7112.5049767671,7139.5802433663,6828.4794483346
BTC,2019-12-17,6584.0288433458,6884.6615535556,6933.7411793769,6565.0096445899
BTC,2019-12-19,7147.5683237876,6584.0304242163,7424.0640296275,6427.9593864456
BTC,2019-12-21,7286.3350811573,7147.5690010018,7328.9308126043,7076.1110403604
BTC,2019-12-22,7236.9862046092,7286.3363101526,7356.6405191403,7083.7347260972
BTC,2019-12-23,7166.1723785327,7236.9860862933,7498.7973044554,7127.9362547168
BTC,2019-12-24,7235.6266504955,7166.1730451795,7292.0067358272,7045.1229145654
BTC,2019-12-26,7183.7065360296,7235.6235815876,7427.4722801559,7105.7238635861
BTC,2019-12-27,7227.2937116818,7183.7060825993,7251.38124578,7065.2783084265
BTC,2019-12-28,7311.560643923,7227.2943882922,7348.7897943166,7217.0795968016
BTC,2019-12-29,7385.464847913,7315.1515481719,7520.6370340888,7272.5937907838
BTC,2019-12-31,7179.9578192867,7379.1578812114,7396.6033217963,7119.6269458661
BTC,2020-01-01,7174.7440119511,7179.9576886221,7237.014865974,7152.9924021269
BTC,2020-01-03,7291.2195053189,7174.712356544,7390.0418350594,6852.0934014516
BTC,2020-01-04,7337.6366701377,7291.2175035999,7390.7629353266,7263.1786956072
BTC,2020-01-05,7347.4332644392,7337.421390676,7487.3338707877,7316.7633702616
BTC,2020-01-06,7713.8607536496,7351.5788898737,7749.6486132989,7339.7025230938
BTC,2020-01-07,8039.6037008183,7714.9084837456,8192.1588771153,7708.8853512691
BTC,2020-01-08,8067.6063690564,8046.8029434773,8463.1834184145,7871.0354994792
BTC,2020-01-09,7808.7013638165,8046.1115292961,8046.2838824034,7755.4012267825
BTC,2020-01-10,8087.4528852359,7808.7037326474,8136.4991260981,7670.4577915925
BTC,2020-01-11,8078.9935319903,8195.4759992712,8278.6605796425,8008.905116977
BTC,2020-01-12,8149.3137171468,8080.2296143216,8188.3858023401,7959.5335219804
BTC,2020-01-13,8116.9610079465,8150.8073363647,8191.1877148195,8035.3155303557
BTC,2020-01-14,8735.1424391365,8110.5112347453,8848.9219945188,8108.9540387696
BTC,2020-01-16,8843.6757322237,8735.1484173123,8897.643792588,8558.7443773392
BTC,2020-01-17,8711.6375778988,8825.385428024,8855.5301353874,8587.5183510031
BTC,2020-01-18,8925.2990284456,8711.6373107297,9009.5337001471,8665.0115377476
BTC,2020-01-19,8939.8643002492,8925.3034863741,8971.8906323129,8803.0944350362
BTC,2020-01-20,8652.6837629859,8939.8799944275,9181.9727908014,8455.129027536
BTC,2020-01-22,8708.786013433,8652.6824688107,8783.7501000075,8486.3404573779
BTC,2020-01-23,8384.0887767671,8708.8352221244,8797.7736140327,8277.8091268159
BTC,2020-01-24,8451.2322960209,8381.5997737175,8512.454206647,8220.8673894814
BTC,2020-01-26,8347.567505406,8451.2321285783,8458.2839929308,8256.0430665915
BTC,2020-01-27,8881.9623914604,8347.5699512759,8982.0354404362,8282.3583072511
BTC,2020-01-29,9320.9784062486,8877.7336172999,9432.6774872835,8874.2848186197
BTC,2020-01-30,9545.0779565894,9288.5226462662,9633.2510350153,9185.1813402348
BTC,2020-01-31,9388.8807518859,9548.5453758381,9558.4326133253,9198.6590414019
BTC,2020-02-02,9363.1933827575,9388.8790704776,9451.0645797253,9284.4105590399
BTC,2020-02-03,9269.7070348447,9375.2268312725,9603.1055824836,9150.5345727305
BTC,2020-02-04,9177.8946372066,9286.2077761598,9349.2470579603,9072.5882144438
BTC,2020-02-05,9625.4566372011,9177.8957937954,9745.1713772974,9147.6522811203
BTC,2020-02-06,9681.3774113095,9600.4035851114,9856.4477732891,9527.1516688188
BTC,2020-02-07,9795.3440659492,9681.3776995274,9872.6160693597,9653.132962425
BTC,2020-02-08,9927.7782564213,9795.343586045,9939.6715013086,9660.3091570566
BTC,2020-02-09,10132.706499106,9900.6846345293,10175.9070114234,9888.1547646154
BTC,2020-02-10,9838.9000162764,10132.7064787693,10197.1992831582,9752.1957570763
BTC,2020-02-11,10236.6351482326,9851.6442542986,10351.4559262839,9711.3609146837
BTC,2020-02-13,10218.0997373046,10236.7932647241,10516.9179252276,10097.7616888251
BTC,2020-02-14,10367.5279981077,10234.467701605,10598.0301607446,10108.1591627515
BTC,2020-02-15,9926.353690569,10367.5274787261,10397.5364799673,9810.9280724781
BTC,2020-02-16,9876.2349632052,9926.3534545451,10052.3546170894,9642.4650322727
BTC,2020-02-18,10189.9959829746,9933.9019334018,10272.7948244353,9468.2926979618
BTC,2020-02-19,9701.0371914987,10190.007761341,10290.3042606394,9365.7802995899
BTC,2020-02-20,9631.4849459561,9608.9319696903,9704.6926251028,9410.9214156628
BTC,2020-02-22,9689.0867428481,9631.4825593356,9770.3406915984,9575.0544894763
BTC,2020-02-24,9640.4695050585,9689.0859922174,10008.5404721395,9480.1859420408
BTC,2020-02-26,8787.9783631624,9640.4685621125,9679.5950897831,8626.9357463294
BTC,2020-02-27,8784.9953524383,8790.3368531973,8977.5855649234,8530.4963793833
